ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Opening,Title,Strengths,Opening,Title,Strengths
1005009185888395,https://ae-pic-a1.aliexpress-media.com/kf/S3132723e16ed4eb7b62362e8cfbeca633.jpg,,NORTH EDGE 2025 New TRITON Solar Powered Dive Watch Men Luxury Quartz Watches For Men 316L Stainless Steel Case Waterproof 300M,ILS 191.84,ILS 175.70,8%,ILS,7,ILS 12.30,7,ILS 12.30,614,98.7%,https://s.click.aliexpress.com/e/_oEnOXYR,,,,,,
1005009140155973,https://ae-pic-a1.aliexpress-media.com/kf/S3f11a4c509654c528991ae49a895b3c9I.jpg,,HOBIBEAR Unisex Hiking Sneakers Lace-Up Walking Shoes Outdoor Travel Artificial Leather Sneakers,ILS 228.49,ILS 114.25,50%,ILS,7,ILS 8.00,7,ILS 8.00,2280,98.0%,https://s.click.aliexpress.com/e/_oD9A53z,,,,,,
1005007272220600,https://ae-pic-a1.aliexpress-media.com/kf/S167c5fb076004a4e8c68332c6291cc3bV.jpg,,"30M/20M Mexllex RGB Neon Light Strip with APP &Remote, Color Change Waterproof Music Sync Mode for Bedroom Room Outdoors Decro",ILS 135.48,ILS 67.74,50%,ILS,7,ILS 4.74,7,ILS 4.74,1096,91.4%,https://s.click.aliexpress.com/e/_oDHbPbN,,,,,,
1005007343508799,https://ae-pic-a1.aliexpress-media.com/kf/S9f0ba072c3ba4225a8fbabfa08f16f7af.jpg,,Disney Cartoon Mickey Mouse Cute Fashion Backpack Women's Minnie Canvas School Bag Fashion Large Capacity Backpack Girls Mochila,ILS 48.28,ILS 19.80,59%,ILS,7,ILS 1.39,7,ILS 1.39,4253,91.6%,https://s.click.aliexpress.com/e/_oFXUmyx,,,,,,
1005005496129425,https://ae-pic-a1.aliexpress-media.com/kf/S5ac7ef7f64c5423ca43dedf2e2da5f6fb.jpg,,[NORTHWOOD] Men's Mesh Baseball Cap Breathable Summer Caps Dad Hat Outdoor Fishing Hats Bone Gorras Snapback Trucker Cap,ILS 53.61,ILS 13.76,74%,ILS,7,ILS 0.96,7,ILS 0.96,10250,91.8%,https://s.click.aliexpress.com/e/_okeVHMJ,,,,,,
1005006047319863,https://ae-pic-a1.aliexpress-media.com/kf/S87fa2d40f85a429090bfe697384cb77aZ.jpg,,"Magnetic Wristband for Holding Screws,Nails，Drilling Bits,Wrist Tool Holder Belts with Strong Magnets,Cool Gadgets for Men, wome",ILS 35.62,ILS 12.61,64%,ILS,7,ILS 0.88,7,ILS 0.88,20785,90.4%,https://s.click.aliexpress.com/e/_oDur0kx,,,,,,
1005005043709858,https://ae-pic-a1.aliexpress-media.com/kf/S2d440b831cc74ad0a92d888db68017476.jpg,,Baseus Car Polisher Machine Wireless Electric Polishing Wax Tool Adjustable Speed Cordless Auto Polish Waxing Machine,ILS 371.30,ILS 161.22,56%,ILS,7,ILS 11.29,7,ILS 11.29,2805,95.8%,https://s.click.aliexpress.com/e/_oFXYLBz,,,,,,
1005005888291709,https://ae-pic-a1.aliexpress-media.com/kf/S8105c735fb6d4c10b4c88fb30a088063B.jpg,,Sanda 1116 New Fashion 2023 Elegant Design Rectangle Dial Water Resistant Quartz Movement Business Women Analog Wrist Watch,ILS 33.14,ILS 31.81,4%,ILS,7,ILS 2.23,7,ILS 2.23,1093,93.5%,https://s.click.aliexpress.com/e/_oBS45iL,,,,,,
1005005111171234,https://ae-pic-a1.aliexpress-media.com/kf/Sa5a9efe362064c338c4f4f79914383a2S.jpg,,Insulated Thermal Lunch Bags For Men Women Breakfast Lunch Box Organizer Waterproof Camping Food Drink Cooler Bag Picnic Travel,ILS 16.60,ILS 16.60,0%,ILS,7,ILS 1.16,7,ILS 1.16,634,91.6%,https://s.click.aliexpress.com/e/_omFootl,,,,,,
1005007339828415,https://ae-pic-a1.aliexpress-media.com/kf/Sc7ef7b9af58e48b79ea85e36ee432366s.jpg,,Urban Minimalist Female Student Large Capacity Commuting Horizontal Canvas Single Shoulder Diagonal Cross Portable Tote Bag,ILS 58.87,ILS 25.31,57%,ILS,7,ILS 1.77,7,ILS 1.77,4650,90.6%,https://s.click.aliexpress.com/e/_oD7vNsR,,,,,,
1005005748480290,https://ae-pic-a1.aliexpress-media.com/kf/S3fda5985191c4aaeb99e980ee7e3a5a0D.jpg,,POEDAGAR Men Quartz Watch Luxury Sports Waterproof Chronograph Luminous Date Man Wristwatch Business Leather Men's Watches Clock,ILS 56.43,ILS 48.98,13%,ILS,7,ILS 3.43,7,ILS 3.43,1476,92.6%,https://s.click.aliexpress.com/e/_oFZZJOb,,,,,,
1005006854208917,https://ae-pic-a1.aliexpress-media.com/kf/Se9fb1f4b7f804958a5fbbe4229d40a3f4.jpg,,Leopard Pattern Tote Bag Vintage Canvas Shoulder Bag Fashion Big Capacity Handbag For School Work Shopping,ILS 69.10,ILS 29.85,56%,ILS,7,ILS 2.09,7,ILS 2.09,2925,85.6%,https://s.click.aliexpress.com/e/_okYuf35,,,,,,
1005005945579260,https://ae-pic-a1.aliexpress-media.com/kf/Sd04154bde55d47759860e8cb3763092ci.png,https://video.aliexpress-media.com/play/u/ae_sg_item/2677107565/p/1/e/6/t/10301/1100189336492.mp4,"SWISS 17"" Laptop Backpack Waterproof USB Charge Port Swiss-style Multifunctional Rucksack Schoolbag Mochila Hiking Travel bag",ILS 319.55,ILS 146.99,54%,ILS,8,ILS 11.76,7,ILS 10.29,1110,98.3%,https://s.click.aliexpress.com/e/_om1av27,,,,,,
1005007932649036,https://ae-pic-a1.aliexpress-media.com/kf/S1a47bfffacd1421da95c2fae0807baddW.jpg,,"Window insulation film, winter indoor windproof and warm windows, energy-saving transparent film, screen window, door curtain",ILS 56.65,ILS 23.96,57%,ILS,7,ILS 1.68,7,ILS 1.68,232,96.8%,https://s.click.aliexpress.com/e/_oBLpyZd,,,,,,
1005007339656551,https://ae-pic-a1.aliexpress-media.com/kf/Sed0f5ba94fc14fa28ecf27642b4c992dM.png,,The leisure business single shoulder bag Polo vertical bag man trend inclined shoulder bag,ILS 100.65,ILS 43.28,57%,ILS,7,ILS 3.03,7,ILS 3.03,7636,87.4%,https://s.click.aliexpress.com/e/_onCDBEF,,,,,,
