ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,הנחה,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend,מספר פריט,פוסט,פתיח מותאם
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/Sf27e69397e964fc2ae86df098f208f6dS.jpg,,Cordless Digital Aquarium Thermometer LED Display Electronic Fish Tank Water Temperature Measurement Control Temp Meter Gauge,ILS 22.80,ILS 22.39,1%,ILS,10,ILS 2.24,7,ILS 1.57,730,96.4,https://s.click.aliexpress.com/e/_oCqOmKr,,,,,,,1000000,"🔧 קטן בגודל – גדול בפתרון!

🛍 Cordless Digital Aquarium Thermometer LED Display Electronic Fish Tank Water Temperature Measurement Control Temp Meter Gauge

מחיר מבצע: [ILS 22.39 ש""ח](https://s.click.aliexpress.com/e/_oCqOmKr) (מחיר מקורי: ILS 22.80 ש""ח)
💸 חסכתם: 1%
⭐ דירוג: 964%
הוזמן כבר 730 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_oCqOmKr

מספר פריט: 1000000
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/Sf27e69397e964fc2ae86df098f208f6dS.jpg
",🔥 מוצר שחייבים להכיר: Cordless Digital Aquarium Thermometer LED Display Electronic Fish Tank Water Temperature Measurement Control Temp Meter Gauge
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/Sdc4af6d0111640f6bc43ff630ef759bbN.jpg,,TUYA smartlife 1- 63A TOMZN 1P+N WIFI Smart Switch Energy Meter Kwh Metering Monitoring Circuit Breaker Timer Relay MCB,ILS 45.64,ILS 45.64,0%,ILS,8,ILS 3.65,7,ILS 3.19,1043,95.9,https://s.click.aliexpress.com/e/_opXUyKP,,,,,,,1000001,"🔌 חוסך זמן וכסף – מומלץ!

🛍 TUYA smartlife 1- 63A TOMZN 1P+N WIFI Smart Switch Energy Meter Kwh Metering Monitoring Circuit Breaker Timer Relay MCB

מחיר מבצע: [ILS 45.64 ש""ח](https://s.click.aliexpress.com/e/_opXUyKP) (מחיר מקורי: ILS 45.64 ש""ח)

⭐ דירוג: 959%
הוזמן כבר 1043 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_opXUyKP

מספר פריט: 1000001
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/Sdc4af6d0111640f6bc43ff630ef759bbN.jpg
",🔥 מוצר שחייבים להכיר: TUYA smartlife 1- 63A TOMZN 1P+N WIFI Smart Switch Energy Meter Kwh Metering Monitoring Circuit Breaker Timer Relay MCB
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/S63dab1a6d7124cfd851c02fb72941febt.jpg,,"Safety shoes for men and women, breathable work sports shoes, steel toe shoes, puncture resistant safety protection shoes",ILS 194.75,ILS 77.71,60%,ILS,7,ILS 5.44,7,ILS 5.44,1027,93.8,https://s.click.aliexpress.com/e/_okYgnYP,,,,,,,1000002,"✨ פתרון חכם לבית שלך! ✨

🛍 Safety shoes for men and women, breathable work sports shoes, steel toe shoes, puncture resistant safety protection shoes

מחיר מבצע: [ILS 77.71 ש""ח](https://s.click.aliexpress.com/e/_okYgnYP) (מחיר מקורי: ILS 194.75 ש""ח)
💸 חסכתם: 60%
⭐ דירוג: 938%
הוזמן כבר 1027 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_okYgnYP

מספר פריט: 1000002
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/S63dab1a6d7124cfd851c02fb72941febt.jpg
","🆕 הגיע לראשונה – Safety shoes for men and women, breathable work sports shoes, steel toe shoes, puncture resistant safety protection shoes"
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/S39ddd8af9fcc4ab5989beee57bc39ba58.jpg,,5pcs Colorful Butterfly Lights Braids Wig Women Party Hair Accessories Random Color,ILS 19.32,ILS 9.66,50%,ILS,7,ILS 0.68,7,ILS 0.68,9152,95.1,https://s.click.aliexpress.com/e/_oEaJZF5,,,,,,,1000003,"🚗 שדרוג מושלם לרכב שלך!

🛍 5pcs Colorful Butterfly Lights Braids Wig Women Party Hair Accessories Random Color

מחיר מבצע: [ILS 9.66 ש""ח](https://s.click.aliexpress.com/e/_oEaJZF5) (מחיר מקורי: ILS 19.32 ש""ח)
💸 חסכתם: 50%
⭐ דירוג: 951%
הוזמן כבר 9152 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_oEaJZF5

מספר פריט: 1000003
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/S39ddd8af9fcc4ab5989beee57bc39ba58.jpg
",🎯 אל תפספסו את זה – 5pcs Colorful Butterfly Lights Braids Wig Women Party Hair Accessories Random Color
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/Sd1b4d865c30041619e5679fd36416994K.jpg,,YRZL Men Shoes Spring Autumn Waterproof Walking Sneakers Leisure Male Leather Sports Shoes Non-Slip Footwear Tennis for Men,ILS 130.93,ILS 56.24,57%,ILS,7,ILS 3.94,7,ILS 3.94,928,87.8,https://s.click.aliexpress.com/e/_oB1GHKL,,,,,,,1000004,"🚗 שדרוג מושלם לרכב שלך!

🛍 YRZL Men Shoes Spring Autumn Waterproof Walking Sneakers Leisure Male Leather Sports Shoes Non-Slip Footwear Tennis for Men

מחיר מבצע: [ILS 56.24 ש""ח](https://s.click.aliexpress.com/e/_oB1GHKL) (מחיר מקורי: ILS 130.93 ש""ח)
💸 חסכתם: 57%
⭐ דירוג: 878%
הוזמן כבר 928 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_oB1GHKL

מספר פריט: 1000004
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/Sd1b4d865c30041619e5679fd36416994K.jpg
",🆕 הגיע לראשונה – YRZL Men Shoes Spring Autumn Waterproof Walking Sneakers Leisure Male Leather Sports Shoes Non-Slip Footwear Tennis for Men
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/S0d7c69f54b484381816684f4fd90571fC.jpg,,1PC Customized custom custom photo plush pillow personalized pet picture cushion - the best gift choice,ILS 55.70,ILS 27.85,50%,ILS,7,ILS 1.95,7,ILS 1.95,398,95.0,https://s.click.aliexpress.com/e/_omqTpr9,,,,,,,1000005,"🪛 הכלי הקטן שיפתור לכם בעיה גדולה!

🛍 1PC Customized custom custom photo plush pillow personalized pet picture cushion - the best gift choice

מחיר מבצע: [ILS 27.85 ש""ח](https://s.click.aliexpress.com/e/_omqTpr9) (מחיר מקורי: ILS 55.70 ש""ח)
💸 חסכתם: 50%
⭐ דירוג: 950%
הוזמן כבר 398 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_omqTpr9

מספר פריט: 1000005
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/S0d7c69f54b484381816684f4fd90571fC.jpg
",🎯 אל תפספסו את זה – 1PC Customized custom custom photo plush pillow personalized pet picture cushion - the best gift choice
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/Se5ccd7975162446698858e7ad25a93dfd.png,https://video.aliexpress-media.com/play/u/ae_sg_item/2672424327/p/1/e/6/t/10301/1100201292653.mp4,Foldable Gripper Extender Hand Tools Litter Reachers Picker Portable Collapsible Garbage Grabber Pick Up Tools with Non-Slip Jaw,ILS 120.00,ILS 37.13,69%,ILS,7,ILS 2.60,7,ILS 2.60,1024,98.9,https://s.click.aliexpress.com/e/_ok8Shht,,,,,,,1000006,"🪛 הכלי הקטן שיפתור לכם בעיה גדולה!

🛍 Foldable Gripper Extender Hand Tools Litter Reachers Picker Portable Collapsible Garbage Grabber Pick Up Tools with Non-Slip Jaw

מחיר מבצע: [ILS 37.13 ש""ח](https://s.click.aliexpress.com/e/_ok8Shht) (מחיר מקורי: ILS 120.00 ש""ח)
💸 חסכתם: 69%
⭐ דירוג: 989%
הוזמן כבר 1024 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_ok8Shht

מספר פריט: 1000006
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/Se5ccd7975162446698858e7ad25a93dfd.png
",🎯 אל תפספסו את זה – Foldable Gripper Extender Hand Tools Litter Reachers Picker Portable Collapsible Garbage Grabber Pick Up Tools with Non-Slip Jaw
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/Scdf07757f85c4dd78ab1c47bb8828c3aG.jpg,,HTB-GS-03 Gigabit Fiber Optical Media Converter 10/100/1000Mbps Single Mode to RJ45 3KM/20KM UPC/APC SC-Port US Power Supply,ILS 78.16,ILS 27.35,65%,ILS,7,ILS 1.91,7,ILS 1.91,272,94.0,https://s.click.aliexpress.com/e/_on8tDGJ,,,,,,,1000007,"📦 מוצר שימושי במחיר מפתיע!

🛍 HTB-GS-03 Gigabit Fiber Optical Media Converter 10/100/1000Mbps Single Mode to RJ45 3KM/20KM UPC/APC SC-Port US Power Supply

מחיר מבצע: [ILS 27.35 ש""ח](https://s.click.aliexpress.com/e/_on8tDGJ) (מחיר מקורי: ILS 78.16 ש""ח)
💸 חסכתם: 65%
⭐ דירוג: 940%
הוזמן כבר 272 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_on8tDGJ

מספר פריט: 1000007
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/Scdf07757f85c4dd78ab1c47bb8828c3aG.jpg
",✨ החידוש שאתם חייבים בבית – HTB-GS-03 Gigabit Fiber Optical Media Converter 10/100/1000Mbps Single Mode to RJ45 3KM/20KM UPC/APC SC-Port US Power Supply
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/S5271a2facb5b4fb2a281be3d7b0dd2eb6.jpg,,Large screen showerhead 3-speed mode portable shower shower accessories showers for bathroom items knobs full heads set parts,ILS 10.56,ILS 10.56,0%,ILS,10,ILS 1.06,7,ILS 0.74,872,94.5,https://s.click.aliexpress.com/e/_okWizLN,,,,,,,1000008,"🚗 שדרוג מושלם לרכב שלך!

🛍 Large screen showerhead 3-speed mode portable shower shower accessories showers for bathroom items knobs full heads set parts

מחיר מבצע: [ILS 10.56 ש""ח](https://s.click.aliexpress.com/e/_okWizLN) (מחיר מקורי: ILS 10.56 ש""ח)

⭐ דירוג: 945%
הוזמן כבר 872 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_okWizLN

מספר פריט: 1000008
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/S5271a2facb5b4fb2a281be3d7b0dd2eb6.jpg
",🎯 אל תפספסו את זה – Large screen showerhead 3-speed mode portable shower shower accessories showers for bathroom items knobs full heads set parts
1005010000000000.0,https://ae-pic-a1.aliexpress-media.com/kf/S9858aa7078a64603b92b0691d013ccd3S.jpg,,Rolling Knife Sharpener Magnetic Knife Holder Diamond Sharpening Stone Kit with 15 and 20 Degrees Angle Roller Kitchen Accessory,ILS 37.26,ILS 17.89,52%,ILS,7,ILS 1.25,7,ILS 1.25,3479,92.0,https://s.click.aliexpress.com/e/_opqsrsP,,,,,,,1000009,"💡 איך לא חשבו על זה קודם?

🛍 Rolling Knife Sharpener Magnetic Knife Holder Diamond Sharpening Stone Kit with 15 and 20 Degrees Angle Roller Kitchen Accessory

מחיר מבצע: [ILS 17.89 ש""ח](https://s.click.aliexpress.com/e/_opqsrsP) (מחיר מקורי: ILS 37.26 ש""ח)
💸 חסכתם: 52%
⭐ דירוג: 920%
הוזמן כבר 3479 פעמים
🚚 משלוח חינם בהזמנות מעל 38 ₪ או 7.49 ₪


להזמנה מהירה לחצו כאן👉 https://s.click.aliexpress.com/e/_opqsrsP

מספר פריט: 1000009
להצטרפות לערוץ לחצו עליי👉 https://t.me/+LCv-Xuy6z9RjY2I0

📸 https://ae-pic-a1.aliexpress-media.com/kf/S9858aa7078a64603b92b0691d013ccd3S.jpg
",⭐ כולם מדברים על זה – Rolling Knife Sharpener Magnetic Knife Holder Diamond Sharpening Stone Kit with 15 and 20 Degrees Angle Roller Kitchen Accessory
