ItemId,ImageURL,Title,OriginalPrice,SalePrice,Discount,Rating,Orders,BuyLink,CouponCode,Opening,Strengths,Video Url
1005001814197354,https://ae-pic-a1.aliexpress-media.com/kf/Sb884ae5344924e5c94f0cf0f9e3c1b72z.png,Mpow Flame Solo אלחוטי אוזניות TWS Bluetooth 5.4 אוזניות with ENC ביטול רעשים מיקרופון IPX7 עמיד במים for Running Sport,178.09,80.14,55%,91.9%,443,https://s.click.aliexpress.com/e/_oCVY3NB,,🎧 שדרגו את ההאזנה – צליל חד וברור בכל רגע!,"Mpow Flame Solo אלחוטי אוזניות TWS Bluetooth 5.4 אוזניות with ENC ביטול רעשים מיקרופון IPX7 עמיד במים for Running Sport
• איכות צליל חדה 🎵
• נוחות בשימוש ממושך 🎧
• חיי סוללה ארוכים 🔋",https://video.aliexpress-media.com/play/u/ae_sg_item/2751297168/p/1/e/6/t/10301/289338535274.mp4
1005006383228343,https://ae-pic-a1.aliexpress-media.com/kf/Sf18386f8f9b14ef2ba6cac10ba2078165.jpg,KINHANK G1 סטרימר Android TV With Netflix 4K Ultra HD Google Certified Dolby Vision HDR10+  4G 32G WiFi6 Streaming Media Device,748.48,232.03,69%,96.8%,5149,https://s.click.aliexpress.com/e/_oporSHb,,📺 קולנוע בבית – חוויית צפייה חדה ומרגשת!,"KINHANK G1 סטרימר Android TV With Netflix 4K Ultra HD Google Certified Dolby Vision HDR10+  4G 32G WiFi6 Streaming Media Device
• איכות תמונה חדה 🌟
• חיבור יציב ומהיר 📡
• תפעול אינטואיטיבי ⚡",https://video.aliexpress-media.com/play/u/ae_sg_item/243504189/p/1/e/6/t/10301/1100203634424.mp4
1005006702505204,https://ae-pic-a1.aliexpress-media.com/kf/See1724001c8f4fbfabd82c5d0fcdf3cbN.jpg,AOCHUAN 3-Axis ידני מייצב חכםXE for חכםphone for iPhone Android AI Face Tracking TikTok Vlog,325.74,121.53,62%,91.6%,3231,https://s.click.aliexpress.com/e/_olzJKy1,,✨ מוצר חכם שישדרג את היום שלכם!,"AOCHUAN 3-Axis ידני מייצב חכםXE for חכםphone for iPhone Android AI Face Tracking TikTok Vlog
• עיצוב מודרני ✨
• שימוש קל ונוח ⚡
• מותאם לצרכים שלכם 🎯",https://video.aliexpress-media.com/play/u/ae_sg_item/239350914/p/1/e/6/t/10301/1100221758039.mp4
1005006821201816,https://ae-pic-a1.aliexpress-media.com/kf/Scaf86299722f4aa195d146baa7179392R.jpg,"FIFINE Adjustable Low-profile Arm מיקרופוןrophone Stand with Cable Managment/Desk Mount, Suspension Boom for K688 Ampligame AM8-BM88",514.33,135.74,73%,95.1%,4503,https://s.click.aliexpress.com/e/_oEL1QYt,,"🎤 קול מקצועי – לשידורים, פודקאסטים והקלטות!","FIFINE Adjustable Low-profile Arm מיקרופוןrophone Stand with Cable Managment/Desk Mount, Suspension Boom for K688 Ampligame AM8-BM88
• איכות קול מקצועית 🎤
• שליטה נוחה 🎛️
• מבנה קשיח ואמין 🛠️",https://video.aliexpress-media.com/play/u/ae_sg_item/234591151/p/1/e/6/t/10301/1100213400916.mp4
1005007357456579,https://ae-pic-a1.aliexpress-media.com/kf/S6632c3536c984a60b28fe11cd349b438E.jpg,Ortizan Bluetooth רמקולs 40W Enhanced Bass נייד Outdoor אלחוטי רמקול 30Hrs IP7 עמיד במים Shower רמקול Bluetooth 5.3,227.51,84.88,62%,95.8%,6415,https://s.click.aliexpress.com/e/_onL5zSp,,🔊 המוזיקה הולכת איתכם – עוצמה בלי פשרות!,"Ortizan Bluetooth רמקולs 40W Enhanced Bass נייד Outdoor אלחוטי רמקול 30Hrs IP7 עמיד במים Shower רמקול Bluetooth 5.3
• עוצמת שמע גבוהה 🎶
• עמידות במים 💦
• זמן נגינה ארוך 🔋",
1005006007773971,https://ae-pic-a1.aliexpress-media.com/kf/S8665f936a698423183f1079b03d191d6T.jpg,"FIFINE USB/XLR Dynamic מיקרופוןrophone with Shock Mount,Touch-mute,Headphone Jack&Volume Control,for PC or Sound Card Recording -K688",297.68,116.74,60%,96.5%,6590,https://s.click.aliexpress.com/e/_oEO8hNR,,"🎤 קול מקצועי – לשידורים, פודקאסטים והקלטות!","FIFINE USB/XLR Dynamic מיקרופוןrophone with Shock Mount,Touch-mute,Headphone Jack&Volume Control,for PC or Sound Card Recording -K688
• איכות קול מקצועית 🎤
• שליטה נוחה 🎛️
• מבנה קשיח ואמין 🛠️",https://video.aliexpress-media.com/play/u/ae_sg_item/234591151/p/1/e/6/t/10301/1100106547160.mp4
1005005905479293,https://ae-pic-a1.aliexpress-media.com/kf/Sb1a74daa58434dd4aac4aed00d6358feh.jpg,Original XIAOMI MIJIA נייד ידני שואב אבק For Home Car Mini אלחוטי Dust Catcher Collector 13000PA Cyclone Suction,284.06,121.76,57%,98.4%,4587,https://s.click.aliexpress.com/e/_ok6cUG1,,"🌀 ביצועים חזקים – נייד, מהיר ומוכן לכל משימה!","Original XIAOMI MIJIA נייד ידני שואב אבק For Home Car Mini אלחוטי Dust Catcher Collector 13000PA Cyclone Suction
• עוצמה גבוהה ⚡
• נייד וקומפקטי 🚗
• טעינה מהירה 🔋",
1005008390575263,https://ae-pic-a1.aliexpress-media.com/kf/S95f15563accd4c00b405f98962348f3a1.png,Velec Netflix Certification מקרן Android 13 4K Native 1080P 650ANSI With Auto Focus Wifi6 BT5.2 360° Home Outdoor מקרן,681.32,408.79,40%,96.5%,534,https://s.click.aliexpress.com/e/_oCaBIQd,,📺 קולנוע בבית – חוויית צפייה חדה ומרגשת!,"Velec Netflix Certification מקרן Android 13 4K Native 1080P 650ANSI With Auto Focus Wifi6 BT5.2 360° Home Outdoor מקרן
• איכות תמונה חדה 🌟
• חיבור יציב ומהיר 📡
• תפעול אינטואיטיבי ⚡",
1005006928333812,https://ae-pic-a1.aliexpress-media.com/kf/S32712b36787e4a489135fd8e3a79d2d7d.jpg,PXN 0082 Wired משחק בקר משחק Arcade קונסולה Street Fighter Controller Gaming בקר משחק for USB PS3/PS4/Switch/PC/Android TV /XBOX,279.10,125.59,55%,96.3%,300,https://s.click.aliexpress.com/e/_okCglEZ,,🎮 גיימינג מדויק – שליטה מהירה ותגובה מיידית!,"PXN 0082 Wired משחק בקר משחק Arcade קונסולה Street Fighter Controller Gaming בקר משחק for USB PS3/PS4/Switch/PC/Android TV /XBOX
• שליטה מדויקת 🎮
• עיצוב ארגונומי 🖐
• תאימות רחבה לפלטפורמות 🖥",
1005007287342790,https://ae-pic-a1.aliexpress-media.com/kf/S8c3f2ddc1379403baa08b84e2ac93affn.jpg,Wholesale Original Xiaomi ZINK Pocket Printer Paper Self-adhesive Photo Print 10//50/100 Sheets Xiaomi 3inch Mini Printer Papers,134.05,69.70,48%,98.2%,1235,https://s.click.aliexpress.com/e/_oBIfQHj,,✨ מוצר חכם שישדרג את היום שלכם!,"Wholesale Original Xiaomi ZINK Pocket Printer Paper Self-adhesive Photo Print 10//50/100 Sheets Xiaomi 3inch Mini Printer Papers
• עיצוב מודרני ✨
• שימוש קל ונוח ⚡
• מותאם לצרכים שלכם 🎯",
